Measurements of the power spectrum of the gravitational lensing potential, power is 10^7 [l(l+1)]^2 C_l^phiphi / 2pi
 
   Experiment       l_min   l_center   l_max    power   sigma_power   upper limit
 
     ACTPol_2016       80     138.0     240     0.671      0.162
     ACTPol_2016      240     301.0     420     0.600      0.117
     ACTPol_2016      420     484.0     600     0.265      0.084
     ACTPol_2016      601     697.0     900     0.087      0.060
     ACTPol_2016      901    1002.0    1200     0.173      0.057
     ACTPol_2016     1201    1304.0    1500     0.079      0.064
     ACTPol_2016     1501    1602.0    1800     0.056      0.080
     ACTPol_2016     1801    1911.0    2100    -0.084      0.177         0.38
BICEP2/Keck_2016       30      63.5      97     1.773      1.005
BICEP2/Keck_2016       97     130.5     164     1.189      0.575
BICEP2/Keck_2016      164     197.5     231     0.675      0.463
BICEP2/Keck_2016      231     264.5     298     0.500      0.430
BICEP2/Keck_2016      298     331.5     365     0.352      0.634
BICEP2/Keck_2016      365     398.5     432     0.576      0.966
BICEP2/Keck_2016      432     465.5     499     0.179      1.426
BICEP2/Keck_2016      499     532.5     566     3.067      1.821
BICEP2/Keck_2016      566     599.5     633    -0.300      2.338         5.54
BICEP2/Keck_2016      633     666.5     700     3.174      4.189
     Planck_2015        8      14.0      20     1.290      0.210
     Planck_2015       21      30.0      39     1.390      0.130
     Planck_2015       40      52.5      65     1.400      0.090
     Planck_2015       66      83.0     100     1.130      0.060
     Planck_2015      101     122.5     144     0.880      0.040
     Planck_2015      145     171.5     198     0.600      0.040
     Planck_2015      199     231.0     263     0.450      0.040
     Planck_2015      264     301.0     338     0.400      0.040
     Planck_2015      339     382.0     425     0.300      0.030
     Planck_2015      426     475.5     525     0.200      0.030
     Planck_2015      526     581.5     637     0.110      0.030
     Planck_2015      638     700.0     762     0.020      0.030
     Planck_2015      763     832.0     901     0.070      0.020
     Planck_2015      902     978.0    1054     0.080      0.030
     Planck_2015     1055    1138.0    1221     0.010      0.030
     Planck_2015     1222    1313.0    1404     0.050      0.030
     Planck_2015     1405    1503.5    1602     0.030      0.040
     Planck_2015     1603    1709.5    1816    -0.060      0.050         0.09
     Planck_2015     1817    1932.5    2048    -0.010      0.050         0.12
     SPTpol_2015      100     117.0     133     1.470      0.370
     SPTpol_2015      134     158.0     181     0.580      0.240
     SPTpol_2015      182     213.0     244     0.400      0.190
     SPTpol_2015      245     288.0     330     0.290      0.130
     SPTpol_2015      331     389.0     446     0.331      0.092
     SPTpol_2015      447     525.0     602     0.121      0.067
     SPTpol_2015      603     708.0     813     0.115      0.053
     SPTpol_2015      814     956.0    1097     0.156      0.046
     SPTpol_2015     1098    1290.0    1481     0.008      0.038
     SPTpol_2015     1482    1741.0    1998     0.000      0.041         0.10
  POLARBEAR_2014      100     200.0     300     0.785      0.290
  POLARBEAR_2014      300     400.0     500     0.259      0.219
  POLARBEAR_2014      500     600.0     700    -0.023      0.226         0.54
  POLARBEAR_2014      700     800.0     900     0.244      0.262
  POLARBEAR_2014      900    1000.0    1100     0.646      0.355
  POLARBEAR_2014     1100    1200.0    1300    -0.186      0.457         1.01
  POLARBEAR_2014     1300    1400.0    1500     0.600      0.647
  POLARBEAR_2014     1500    1600.0    1700    -0.221      0.804         1.83
  POLARBEAR_2014     1700    1800.0    1900     1.284      1.054
        ACT_2013       75     120.0     150     0.997      0.347
        ACT_2013      150     260.0     350     0.439      0.163
        ACT_2013      350     460.0     550     0.161      0.118
        ACT_2013      550     830.0    1050     0.135      0.069
        ACT_2013     1050    1600.0    2050     0.008      0.115
        SPT_2012      100     150.0     200     0.741      0.175
        SPT_2012      200     250.0     300     0.366      0.119
        SPT_2012      300     350.0     400     0.291      0.098
        SPT_2012      400     450.0     500     0.077      0.085
        SPT_2012      500     550.0     600     0.062      0.067
        SPT_2012      600     650.0     700     0.025      0.067
        SPT_2012      700     750.0     800     0.106      0.054
        SPT_2012      800     850.0     900     0.060      0.047
        SPT_2012      900     950.0    1000     0.112      0.047
        SPT_2012     1000    1050.0    1100     0.031      0.068
        SPT_2012     1100    1150.0    1200    -0.009      0.064         0.15
        SPT_2012     1200    1250.0    1300     0.065      0.066
        SPT_2012     1300    1350.0    1400     0.030      0.052
        SPT_2012     1400    1450.0    1500     0.063      0.055

Upper limits are listed for bins where the measured C_l^phiphi is zero or negative.
They are 95% confidence limits calculated from the part of the Gaussian likelihood
function corresponding to C_l^phiphi > 0.
